id	parentID	kingdom	phylum	class	order	family	scientificName	rank	status
3613		Plantae	Tracheophyta	Spermatopsida	Ericales	Ericaceae	Vaccinium macrocarpon	species	accepted
3614		Plantae	Tracheophyta	Spermatopsida	Ericales	Ericaceae	Vaccinium myrtillus	species	accepted
3615		Plantae	Tracheophyta	Spermatopsida	Ericales	Ericaceae	Vaccinium oxycoccos	species	accepted
3616		Plantae	Tracheophyta	Spermatopsida	Ericales	Ericaceae	Vaccinium uliginosum	species	accepted
3617		Plantae	Tracheophyta	Spermatopsida	Ericales	Ericaceae	Vaccinium vitis-idaea	species	accepted
3711		Plantae	Tracheophyta	Spermatopsida	Vitales	Vitaceae	Vitis	genus	accepted
3712		Plantae	Tracheophyta	Spermatopsida	Vitales	Vitaceae	Vitis sylvestris	species	accepted
3713		Plantae	Tracheophyta	Spermatopsida	Vitales	Vitaceae	Vitis vinifera	species	accepted
4053		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia	subspecies	accepted
4054		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. domestica	subspecies	accepted
4055		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia (Gro-1)	subspecies	accepted
4056		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia (Gro-11)	subspecies	accepted
4057		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia (Gro-12)	subspecies	accepted
4058		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia (Gro-13)	subspecies	accepted
4059		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia (Gro-2)	subspecies	accepted
4060		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia (Gro-3)	subspecies	accepted
4061		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia (Gro-4)	subspecies	accepted
4062		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia (Gro-5)	subspecies	accepted
4063		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia (Gro-5a)	subspecies	accepted
4064		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia (Gro-5b)	subspecies	accepted
4065		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. insititia (Gro-6)	subspecies	accepted
4066		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. domestica (Gro-10)	subspecies	accepted
4067		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. domestica (Gro-7)	subspecies	accepted
4068		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. domestica (Gro-8)	subspecies	accepted
4069		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica cv. tonneboer	cultivar	accepted
4070		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus domestica subsp. domestica (Gro-9)	subspecies	accepted
4087		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Rubus fruticosus s.l.	pending	accepted
4088		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Rubus corylifolius	species	accepted
2446		Plantae	Tracheophyta	Spermatopsida	Malpighiales	Linaceae	Linum usitatissimum	species	accepted
2088		Plantae	Tracheophyta	Spermatopsida	Fabales	Fabaceae	Genista tinctoria	species	accepted
2285		Plantae	Tracheophyta	Spermatopsida	Brassicales	Brassicaceae	Isatis tinctoria	species	accepted
3091		Plantae	Tracheophyta	Spermatopsida	Brassicales	Resedaceae	Reseda luteola	species	accepted
3144		Plantae	Tracheophyta	Spermatopsida	Gentianales	Rubiaceae	Rubia	genus	accepted
3145		Plantae	Tracheophyta	Spermatopsida	Gentianales	Rubiaceae	Rubia tinctorum	species	accepted
1000		Plantae	Tracheophyta	Spermatopsida	Coniferales	Pinaceae	Abies	genus	accepted
1001		Plantae	Tracheophyta	Spermatopsida	Coniferales	Pinaceae	Abies alba	species	accepted
1002		Plantae	Tracheophyta	Spermatopsida	Coniferales	Pinaceae	Abies grandis	species	accepted
1003		Plantae	Tracheophyta	Spermatopsida	Coniferales	Pinaceae	Abies nordmanniana	species	accepted
1004		Plantae	Tracheophyta	Spermatopsida	Coniferales	Pinaceae	Abies veitchii	species	accepted
1005		Plantae	Tracheophyta	Spermatopsida	Malvales	Malvaceae	Abutilon	genus	accepted
1006		Plantae	Tracheophyta	Spermatopsida	Malvales	Malvaceae	Abutilon theophrasti	species	accepted
1007		Plantae	Tracheophyta	Spermatopsida	Sapindales	Sapindaceae	Acer	genus	accepted
1008		Plantae	Tracheophyta	Spermatopsida	Sapindales	Sapindaceae	Acer campestre	species	accepted
1009		Plantae	Tracheophyta	Spermatopsida	Sapindales	Sapindaceae	Acer negundo	species	accepted
1010		Plantae	Tracheophyta	Spermatopsida	Sapindales	Sapindaceae	Acer platanoides	species	accepted
1011		Plantae	Tracheophyta	Spermatopsida	Sapindales	Sapindaceae	Acer pseudoplatanus	species	accepted
1012		Plantae	Tracheophyta	Spermatopsida	Sapindales	Sapindaceae	Acer saccharinum	species	accepted
1013		Plantae	Tracheophyta	Spermatopsida	Asparagales	Orchidaceae	Aceras	genus	accepted
